FID,MUN_CD_MUN,MUN_NM_MUN,MUN_UF,MUN_NM_PRE,MUN_SIGLA_,MUN_POPU_2,MUN_ICS,MUN_IFSUTI,MUN_ISCST,MUN_C_GERA,MUN_C_REMA,MUN_EFIC_1,MUN_ICT_FI
0,1100015,Alta Floresta D Oeste,RO,Serviço Autônomo de Água e Esgoto,SAAE,14735,1.424481031,1.846814603,96.728704367,795,786,1.108088762,0
1,1100023,Ariquemes,RO,Companhia de Águas e Esgotos de Rondônia,CAERD,85770,2.01764129369,8.5762822607,89.406076446,4631,4393,5.145769356,0
2,1100031,Cabixi,RO,Prefeitura Municipal de Cabixi,PM,2771,0.37133308578,0.63126624582,98.997400668,149,149,0.378759747,0
3,1100049,Cacoal,RO,Serviço Autônomo de Água e Esgoto de Cacoal,SAAE,67665,0,16.1786792849,28.821320715,3653,1791,50.957207571,55
4,1100056,Cerejeiras,RO,Prefeitura Municipal de Cerejeiras,PM,15276,0.67272348984,19.6892988418,79.637977668,824,727,11.813579305,0
5,1100064,Colorado do Oeste,RO,Prefeitura Municipal de Colorado do Oeste,PM,14097,1.02511532547,4.0418832833,94.933001391,761,742,2.42512997,0
6,1100072,Corumbiara,RO,Prefeitura Municipal de Corumbiara,PM,2665,1.31274131274,6.48648648649,92.200772201,143,138,3.891891892,0
7,1100080,Costa Marques,RO,Prefeitura Municipal de Costa Marques,PM,8689,1.89409096972,8.52340936375,89.582499667,469,445,5.114045618,0
8,1100098,Espigão D Oeste,RO,Prefeitura Municipal de Espigão D Oeste,PM,22741,1.21785541,13.8185346919,84.963609898,1228,1126,8.291120815,0
9,1100106,Guajará-Mirim,RO,Companhia de Águas e Esgotos de Rondônia,CAERD,38676,10.0235748573,14.4459908541,75.530434289,2088,1907,8.667594512,0
10,1100114,Jaru,RO,Prefeitura Municipal de Jaru,PM,37544,1.72276325531,3.38003303149,94.897203713,2027,1986,2.028019819,0
11,1100122,Ji-Paraná,RO,Companhia de Águas e Esgotos de Rondônia,CAERD,115123,4.27912033417,18.6318640447,77.089015621,6216,5521,11.179118427,0
12,1100130,Machadinho D Oeste,RO,Prefeitura Municipal de Machadinho D Oeste,PM,18509,0.78525938292,2.74531626785,96.469424349,999,983,1.647189761,0
13,1100148,Nova Brasilândia D Oeste,RO,Prefeitura Municipal de Nova Brasilândia D Oeste,PM,9035,1.95704057279,6.00238663484,92.040572792,487,470,3.601431981,0
14,1100155,Ouro Preto do Oeste,RO,Prefeitura Municipal de Ouro Preto do Oeste,PM,29793,2.01206529454,7.5443577005,90.443577005,1608,1535,4.52661462,0
15,1100189,Pimenta Bueno,RO,Prefeitura Municipal de Pimenta Bueno,PM,32128,9.46391542305,30.3158037869,60.22028079,1734,1419,18.189482272,0
16,1100205,Porto Velho,RO,Companhia de Águas e Esgotos de Rondônia,CAERD,442218,10.2307713963,35.0710075678,54.698221036,23879,18854,21.042604541,0
17,1100254,Presidente Médici,RO,Prefeitura Municipal de Presidente Médici,PM,13719,1.8416898444,1.30045854319,96.857851612,740,735,0.780275126,0
18,1100262,Rio Crespo,RO,Prefeitura Municipal de Rio Crespo,PM,1176,0,0.46992481203,99.530075188,63,63,0.281954887,0
19,1100288,Rolim de Moura,RO,Prefeitura Municipal de Rolim de Moura,PM,45281,0,16.8312051944,81.590190446,2445,2198,10.098723117,1.57860435927
20,1100296,Santa Luzia D Oeste,RO,Prefeitura Municipal de Santa Luzia D Oeste,PM,4526,2.85082872928,1.10497237569,96.044198895,244,242,0.662983425,0
21,1100304,Vilhena,RO,Serviço Autônomo de Água e Esgoto,SAAE,83140,2.03134952505,12.2144063807,85.754244094,4489,4160,7.328643828,0
22,1100320,São Miguel do Guaporé,RO,Prefeitura Municipal de São Miguel do Guaporé,PM,9184,1.34592680047,2.86894923259,95.785123967,495,487,1.72136954,0
23,1100338,Nova Mamoré,RO,Prefeitura Municipal de Nova Mamoré,PM,15200,0.55100635188,9.16813346598,90.280860182,820,775,5.50088008,0
24,1100346,Alvorada D Oeste,RO,Serviço Autônomo de Água e Esgoto de Alvorada D'Oeste,SAAE,9110,0.108,3.29782411605,6.702175884,491,150,69.39769447,89.892
25,1100379,Alto Alegre dos Parecis,RO,Prefeitura Municipal de Alto Alegre dos Parecis,PM,3945,1.394585726,0.3828274542,98.22258682,213,212,0.229696473,0
26,1100403,Alto Paraíso,RO,Prefeitura Municipal de Alto Paraíso,PM,9314,0.51207022677,12.8627164106,86.625213363,502,464,7.717629846,0
27,1100452,Buritis,RO,Prefeitura Municipal de Buritis,PM,20457,0.52974285399,2.53283302064,96.937424125,1104,1087,1.519699812,0
28,1100502,Novo Horizonte do Oeste,RO,Prefeitura Municipal de Novo Horizonte do Oeste,PM,1780,0.51933064051,1.26947489902,98.21119446,96,95,0.761684939,0
29,1100601,Cacaulândia,RO,Prefeitura Municipal de Cacaulândia,PM,2261,0.57999033349,45.8675688739,53.552440793,122,88,27.520541324,0
30,1100700,Campo Novo de Rondônia,RO,Prefeitura Municipal de Campo Novo de Rondônia,PM,3710,1.18659151587,0.41530703056,98.398101454,200,199,0.249184218,0
31,1100809,Candeias do Jamari,RO,Prefeitura Municipal de Candeias do Jamari,PM,14968,6.1146892217,8.06238845348,85.822922325,808,769,4.837433072,0
32,1100908,Castanheiras,RO,Prefeitura Municipal de Castanheiras,PM,863,0.23923444976,3.46889952153,96.291866029,46,45,2.081339713,0
33,1100924,Chupinguaia,RO,Prefeitura Municipal de Chupinguaia,PM,4252,2.0202020202,0.9282009282,97.051597052,229,228,0.556920557,0
34,1100940,Cujubim,RO,Prefeitura Municipal de Cujubim,PM,13520,0.81499592502,10.1512270216,89.033777053,730,685,6.090736213,0
35,1101005,Governador Jorge Teixeira,RO,Prefeitura Municipal de Governador Jorge Teixeira,PM,2366,1.1012282931,51.7153748412,47.183396866,127,88,31.029224905,0
36,1101104,Itapuã do Oeste,RO,Prefeitura Municipal de Itapuã do Oeste,PM,5890,1.66602834163,0.49789352738,97.836078131,318,317,0.298736116,0
37,1101203,Ministro Andreazza,RO,Prefeitura Municipal de Ministro Andreazza,PM,3236,8.68575146389,5.69290826285,85.621340273,174,168,3.415744958,0
38,1101302,Mirante da Serra,RO,Prefeitura Municipal de Mirante da Serra,PM,6765,0,1.13283674736,98.867163253,365,362,0.679702048,0
39,1101401,Monte Negro,RO,Prefeitura Municipal de Monte Negro,PM,8150,0.9201623816,1.42083897158,97.658998647,440,436,0.852503383,0
40,1101435,Nova União,RO,Prefeitura Municipal de Nova União,PM,1621,0.19467878001,0.12978585334,99.675535367,87,87,0.077871512,0
41,1101450,Parecis,RO,Prefeitura Municipal de Parecis,PM,2020,0.84554678692,0.50732807215,98.647125141,109,108,0.304396843,0
42,1101468,Pimenteiras do Oeste,RO,Prefeitura Municipal de Pimenteiras do Oeste,PM,1362,2.01238390093,1.16099071207,96.826625387,73,73,0.696594427,0
43,1101476,Primavera de Rondônia,RO,Serviço Autônomo de Água e Esgoto de Primavera de Rondônia,SAAE,1311,1.16822429907,1.63551401869,97.196261682,70,70,0.981308411,0
44,1101484,São Felipe D Oeste,RO,Prefeitura Municipal de São Felipe D Oeste,PM,1492,1.38504155125,0.5540166205,98.060941828,80,80,0.332409972,0
45,1101492,São Francisco do Guaporé,RO,Prefeitura Municipal de São Francisco do Guaporé,PM,9371,0.31603257567,2.62550139784,97.058466027,506,498,1.575300839,0
46,1101500,Seringueiras,RO,Prefeitura Municipal de Seringueiras,PM,4728,0.65954059586,8.89242665454,90.44803275,255,241,5.335455993,0
47,1101559,Teixeirópolis,RO,Prefeitura Municipal de Teixeirópolis,PM,1783,1.34032634033,0.6993006993,97.96037296,96,95,0.41958042,0
48,1101609,Theobroma,RO,Prefeitura Municipal de Theobroma,PM,2107,3.0839231547,12.4368048534,84.479271992,113,105,7.462082912,0
49,1101708,Urupá,RO,Prefeitura Municipal de Urupá,PM,5342,0.81759781974,15.5732918046,83.609110376,288,261,9.343975083,0
50,1101757,Vale do Anari,RO,Prefeitura Municipal de Vale do Anari,PM,3578,0,0.43859649123,99.561403509,193,192,0.263157895,0
51,1101807,Vale do Paraíso,RO,Prefeitura Municipal de Vale do Paraíso,PM,2336,0.08787346221,0.21968365554,99.692442882,126,125,0.131810193,0
52,1200013,Acrelândia,AC,Prefeitura Municipal de Acrelândia,PM,6301,1.03110209601,21.0277214334,77.941176471,340,297,12.61663286,0
53,1200054,Assis Brasil,AC,Prefeitura Municipal de Assis Brasil,PM,3949,4.35135135135,30.2162162162,65.432432432,213,174,18.12972973,0
54,1200104,Brasiléia,AC,Prefeitura Municipal de Brasiléia,PM,15257,0,13.1093497931,62.874377499,823,620,24.677000772,24.0162727081
55,1200138,Bujari,AC,Prefeitura Municipal de Bujari,PM,3925,2.08502572434,22.63742215,75.277552126,211,183,13.58245329,0
56,1200179,Capixaba,AC,Prefeitura Municipal de Capixaba,PM,4393,2.39246627641,51.1580554849,46.449478239,237,164,30.694833291,0
57,1200203,Cruzeiro do Sul,AC,Prefeitura Municipal de Cruzeiro do Sul,PM,56644,6.16708238441,10.9026497488,82.930267867,3058,2858,6.541589849,0
58,1200252,Epitaciolândia,AC,Prefeitura Municipal de Epitaciolândia,PM,11320,5.17988321718,23.1964588435,71.623657939,611,526,13.917875306,0
59,1200302,Feijó,AC,Prefeitura Municipal de Feijó,PM,16635,4.95912478961,11.0302957442,84.010579466,898,838,6.618177446,0
60,1200328,Jordão,AC,Prefeitura Municipal de Jordão,PM,2469,1.49647887324,11.3556338028,87.147887324,133,124,6.813380282,0
61,1200336,Mâncio Lima,AC,Prefeitura Municipal de Mâncio Lima,PM,9443,0.59428571429,0.32,99.085714286,509,508,0.192,0
62,1200344,Manoel Urbano,AC,Prefeitura Municipal de Manoel Urbano,PM,5546,6.87760515347,12.7699886321,80.352406215,299,276,7.661993179,0
63,1200351,Marechal Thaumaturgo,AC,Prefeitura Municipal de Marechal Thaumaturgo,PM,4424,2.94784580499,19.3499622071,77.702191988,238,211,11.609977324,0
64,1200385,Plácido de Castro,AC,Prefeitura Municipal de Plácido de Castro,PM,10736,0,13.947216336,79.416297438,579,500,13.61115392,6.63648622616
65,1200393,Porto Walter,AC,Prefeitura Municipal de Porto Walter,PM,3673,1.77550406259,0.69214565152,97.532350286,198,197,0.415287391,0
66,1200401,Rio Branco,AC,Departamento Estadual de Pavimentação e Saneamento,DEPASA,327970,0,11.9911196098,31.90888039,17710,8443,52.324805257,56.1
67,1200427,Rodrigues Alves,AC,Prefeitura Municipal de Rodrigues Alves,PM,4789,0.25492468134,14.808806489,84.93626883,258,235,8.885283893,0
68,1200435,Santa Rosa do Purus,AC,Prefeitura Municipal de Santa Rosa do Purus,PM,2167,0.89852008457,5.97251585624,93.128964059,117,112,3.583509514,0
69,1200450,Senador Guiomard,AC,Prefeitura Municipal de Senador Guiomard,PM,13093,1.15720695899,23.2464772101,75.596315831,707,608,13.947886326,0
70,1200500,Sena Madureira,AC,Prefeitura Municipal de Sena Madureira,PM,26619,6.45906339599,12.5238929595,81.017043644,1437,1329,7.514335776,0
71,1200609,Tarauacá,AC,Prefeitura Municipal de Tarauacá,PM,20428,2.31512583329,12.5833290269,85.10154514,1103,1019,7.549997416,0
72,1200708,Xapuri,AC,Prefeitura Municipal de Xapuri,PM,10927,25.0435624395,12.2071636012,62.749273959,590,546,7.324298161,0
73,1200807,Porto Acre,AC,Prefeitura Municipal de Porto Acre,PM,2135,0.40363269425,23.0070635721,76.589303734,115,99,13.804238143,0
74,1300029,Alvarães,AM,Prefeitura Municipal de Alvarães,PM,8491,12.9960694814,29.6817547864,57.322175732,458,376,17.809052872,0
75,1300060,Amaturá,AM,Serviço Autônomo de Água e Esgoto de Amaturá,SAAE,5468,4.59677419355,8.22580645161,87.177419355,295,280,4.935483871,0
76,1300086,Anamã,AM,Prefeitura Municipal de Anamã,PM,4755,8.936272161,0.16770483948,90.896023,256,256,0.100622904,0
77,1300102,Anori,AM,Prefeitura Municipal de Anori,PM,11247,2.04,1.28,96.68,607,602,0.768,0
78,1300144,Apuí,AM,Prefeitura Municipal de Apuí,PM,11685,0.61349693252,10.7881075979,88.59839547,630,590,6.472864559,0
79,1300201,Atalaia do Norte,AM,Prefeitura Municipal de Atalaia do Norte,PM,7812,1.32017989264,0.62382126795,98.055998839,421,420,0.374292761,0
80,1300300,Autazes,AM,Prefeitura Municipal de Autazes,PM,15371,9.99784063917,18.0594544015,71.942704959,830,740,10.835672641,0
81,1300409,Barcelos,AM,Serviço Autônomo de Água e Esgoto de Barcelos,SAAE,11761,8.47001882226,22.6225687909,68.907412387,635,548,13.573541275,0
82,1300508,Barreirinha,AM,Prefeitura Municipal de Barreirinha,PM,13499,1.78772749235,8.03672088903,90.175551619,728,693,4.822032533,0
83,1300607,Benjamin Constant,AM,Prefeitura Municipal de Benjamin Constant,PM,22641,5.03525672857,16.2180951435,78.746648128,1222,1103,9.730857086,0
84,1300631,Beruri,AM,Prefeitura Municipal de Beruri,PM,8705,5.9655438416,36.3975314991,57.636924659,470,367,21.8385189,0
85,1300680,Boa Vista do Ramos,AM,Prefeitura Municipal de Boa Vista do Ramos,PM,8478,1.88079470199,52.7682119205,45.350993377,457,312,31.660927152,0
86,1300706,Boca do Acre,AM,Prefeitura Municipal de Boca do Acre,PM,20712,9.51002687616,0.88898077321,89.600992351,1118,1112,0.533388464,0
87,1300805,Borba,AM,Prefeitura Municipal de Borba,PM,15719,2.16849106277,13.2326451434,84.598863794,848,781,7.939587086,0
88,1300839,Caapiranga,AM,Prefeitura Municipal de Caapiranga,PM,5622,1.10894941634,30.0778210117,68.813229572,303,248,18.046692607,0
89,1300904,Canutama,AM,Prefeitura Municipal de Canutama,PM,7740,20.3831188267,0.20951810835,79.407363065,417,417,0.125710865,0
90,1301001,Carauari,AM,Prefeitura Municipal de Carauari,PM,20993,20.2947730956,9.6788897893,70.026337115,1133,1067,5.807333874,0
91,1301100,Careiro,AM,Prefeitura Municipal de Careiro,PM,10215,12.0589170287,18.3426936526,69.598389319,551,490,11.005616192,0
92,1301159,Careiro da Várzea,AM,Prefeitura Municipal de Careiro da Várzea,PM,1117,3.2,1.4,95.4,60,59,0.84,0
93,1301209,Coari,AM,Prefeitura Municipal de Coari,PM,53154,51.0765140682,4.45912469034,44.464361242,2870,2793,2.675474814,0
94,1301308,Codajás,AM,Prefeitura Municipal de Codajás,PM,17502,33.67075794,1.61963811211,64.709603948,945,935,0.971782867,0
95,1301407,Eirunepé,AM,Prefeitura Municipal de Eirunepé,PM,23946,2.33240097447,13.8094378778,83.858161148,1293,1185,8.285662727,0
96,1301506,Envira,AM,Prefeitura Municipal de Envira,PM,11658,1.85746777862,7.87528430629,90.267247915,629,599,4.725170584,0
97,1301605,Fonte Boa,AM,Prefeitura Municipal de Fonte Boa,PM,14480,1.68044988422,1.2173337744,97.102216341,781,776,0.730400265,0
98,1301654,Guajará,AM,Prefeitura Municipal de Guajará,PM,8127,2.22162380504,11.5659081729,86.212468022,438,408,6.939544904,0
99,1301704,Humaitá,AM,Companhia Humaitaense de Água e Saneamento Básico,COHASB,33887,7.38336447985,13.2684174289,79.348218091,1829,1684,7.961050457,0
100,1301803,Ipixuna,AM,Prefeitura Municipal de Ipixuna,PM,10826,2.21075902727,0.48426150121,97.304979471,584,582,0.290556901,0
101,1301852,Iranduba,AM,Prefeitura Municipal de Iranduba,PM,31624,3.02632941095,14.7072017668,82.266468822,1707,1557,8.82432106,0
102,1301902,Itacoatiara,AM,Serviço Autônomo de Água e Esgoto de Itacoatiara,SAAE,63139,6.20389634954,21.2476572038,72.548446447,3409,2974,12.748594322,0
103,1301951,Itamarati,AM,Prefeitura Municipal de Itamarati,PM,4580,6.95438282648,3.04114490161,90.004472272,247,242,1.824686941,0
104,1302009,Itapiranga,AM,Prefeitura Municipal de Itapiranga,PM,6893,1.78266935359,7.67322895675,90.54410169,372,355,4.603937374,0
105,1302108,Japurá,AM,Prefeitura Municipal de Japurá,PM,2738,2.94117647059,19.587628866,77.471194663,147,130,11.75257732,0
106,1302207,Juruá,AM,Prefeitura Municipal de Juruá,PM,6531,13.6827295111,2.30390432642,84.013366163,352,347,1.382342596,0
107,1302306,Jutaí,AM,Prefeitura Municipal de Jutaí,PM,10191,1.29833206975,0.09476876422,98.606899166,550,550,0.056861259,0
108,1302405,Lábrea,AM,Prefeitura Municipal de Lábrea,PM,26710,20.4940719627,6.31635477341,73.189573264,1442,1387,3.789812864,0
109,1302504,Manacapuru,AM,Serviço Autônomo de Água e Esgoto,SAAE,64877,11.6678299598,18.8320537109,69.500116329,3503,3107,11.299232227,0
110,1302553,Manaquiri,AM,Prefeitura Municipal de Manaquiri,PM,8217,6.74030019824,13.8204474653,79.439252336,443,406,8.292268479,0
111,1302603,Manaus,AM,Manaus Ambiental (SOLVI–PARTICIPAÇÕES EM PROJETOS DE SANEAMENTO LTDA/SANEAMENTO AMBIENTAL ÁGUAS DO BRASIL S.A),MA (SAAB),1972131,0,22.0898096416,49.310190358,106495,77037,27.66053744,28.6
112,1302702,Manicoré,AM,Prefeitura Municipal de Manicoré,PM,22216,2.35883827215,13.8041181385,83.837043589,1199,1100,8.282470883,0
113,1302801,Maraã,AM,Prefeitura Municipal de Maraã,PM,9144,18.3365703187,25.408431395,56.254998286,493,418,15.245058837,0
114,1302900,Maués,AM,Serviço Autônomo de Água e Esgoto de Maués,SAAE,28516,4.43248683803,49.864509136,45.703004026,1539,1079,29.918705482,0
115,1303007,Nhamundá,AM,Prefeitura Municipal de Nhamundá,PM,7591,1.46932952924,39.8573466476,58.673323823,409,311,23.914407989,0
116,1303106,Nova Olinda do Norte,AM,Prefeitura Municipal de Nova Olinda do Norte,PM,15017,12.3440481433,15.7419638926,71.913987964,810,734,9.445178336,0
117,1303205,Novo Airão,AM,Prefeitura Municipal de Novo Airão,PM,10787,1.77913464575,21.7286030108,76.492262343,582,506,13.037161807,0
118,1303304,Novo Aripuanã,AM,Prefeitura Municipal de Novo Aripuanã,PM,15409,14.87139406,4.64686656246,80.481739378,832,808,2.788119937,0
119,1303403,Parintins,AM,Serviço Autônomo de Água e Esgoto de Parintins,SAAE,74816,2.75146659036,24.907712119,72.340821291,4040,3436,14.944627271,0
120,1303502,Pauini,AM,Prefeitura Municipal de Pauini,PM,9765,10.4490500864,26.1873920553,63.363557858,527,444,15.712435233,0
121,1303536,Presidente Figueiredo,AM,Serviço de Autônomo de Água e Esgoto,SAAE,14820,35,9.72232905161,40.277670948,800,651,18.583397431,15
122,1303569,Rio Preto da Eva,AM,Prefeitura Municipal de Rio Preto da Eva,PM,13762,2.36788201557,9.97132322819,87.660794756,743,698,5.982793937,0
123,1303601,Santa Isabel do Rio Negro,AM,Prefeitura Municipal de Santa Isabel do Rio Negro,PM,7929,3.31096849475,13.6231038506,83.065927655,428,393,8.17386231,0
124,1303700,Santo Antônio do Içá,AM,Prefeitura Municipal de Santo Antônio do Içá,PM,12866,3.50660384645,2.82690970881,93.666486445,694,682,1.696145825,0
125,1303809,São Gabriel da Cachoeira,AM,Prefeitura Municipal de São Gabriel da Cachoeira,PM,20904,6.64427416815,15.9808963997,77.374829432,1128,1020,9.58853784,0
126,1303908,São Paulo de Olivença,AM,Prefeitura Municipal de São Paulo de Olivença,PM,15870,5.51777325948,4.71149127112,89.770735469,856,832,2.826894763,0
127,1303957,São Sebastião do Uatumã,AM,Serviço Autônomo de Água e Esgoto de São Sebastião do Uatumã,SAAE,6682,1.59214092141,1.55826558266,96.849593496,360,357,0.93495935,0
128,1304005,Silves,AM,Prefeitura Municipal de Silves,PM,4269,1.16654256639,9.13378009432,89.699677339,230,217,5.480268057,0
129,1304062,Tabatinga,AM,Prefeitura Municipal de Tabatinga,PM,40557,9.91610507496,21.7989272452,68.28496768,2190,1903,13.079356347,0
130,1304104,Tapauá,AM,Prefeitura Municipal de Tapauá,PM,10232,29.0544358636,1.37502354492,69.570540591,552,547,0.825014127,0
131,1304203,Tefé,AM,Serviço Autônomo de Água e Esgoto,SAAE,51236,18.5923425673,18.5184445465,62.889212886,2766,2459,11.111066728,0
132,1304237,Tonantins,AM,Prefeitura Municipal de Tonantins,PM,9463,0.46072592426,15.192718283,84.346555793,511,464,9.11563097,0
133,1304260,Uarini,AM,Prefeitura Municipal de Uarini,PM,7315,5.04782928624,17.4687270052,77.483443709,395,353,10.481236203,0
134,1304302,Urucará,AM,Serviço Autônomo de Água e Esgoto de Urucará,SAAE,10044,2.02306291726,12.8869107829,85.0900263,542,500,7.73214647,0
135,1304401,Urucurituba,AM,Prefeitura Municipal de Urucurituba,PM,11768,2.21094946401,36.4280245023,61.361026034,635,496,21.856814701,0
136,1400027,Amajari,RR,Prefeitura Municipal de Amajari,PM,1363,0.08203445447,0,99.917965545,73,73,0,0
137,1400050,Alto Alegre,RR,Prefeitura Municipal de Alto Alegre,PM,4774,19.7907949791,12.5523012552,67.656903766,257,238,7.531380753,0
138,1400100,Boa Vista,RR,Companhia de Águas e Esgotos de Roraima,CAER,301916,0,36.9864542349,44.796057581,16303,10487,35.672813797,18.2174881839
139,1400159,Bonfim,RR,Prefeitura Municipal de Bonfim,PM,3908,1.99407167879,73.0530854217,24.9528429,211,118,43.831851253,0
140,1400175,Cantá,RR,Prefeitura Municipal de Cantá,PM,2499,3.05715551617,15.9503766061,80.992467878,134,122,9.570225964,0
141,1400209,Caracaraí,RR,Prefeitura Municipal de Caracaraí,PM,11680,70.751604033,17.1860678277,12.062328139,630,565,10.311640697,0
142,1400233,Caroebe,RR,Prefeitura Municipal de Caroebe,PM,3616,27.4669073406,3.88086642599,68.652226234,195,190,2.328519856,0
143,1400282,Iracema,RR,Prefeitura Municipal de Iracema,PM,4578,52.1824423737,35.0662089259,12.7513487,247,195,21.039725356,0
144,1400308,Mucajaí,RR,Prefeitura Municipal de Mucajaí,PM,9598,5.2714045887,0.47006155568,94.258533856,518,516,0.282036933,0
145,1400407,Normandia,RR,Prefeitura Municipal de Normandia,PM,2521,0.99524015578,39.2470791865,59.757680658,136,104,23.548247512,0
146,1400456,Pacaraima,RR,Prefeitura Municipal de Pacaraima,PM,4942,5.5604785113,38.1701373505,56.269384138,266,205,22.90208241,0
147,1400472,Rorainópolis,RR,Prefeitura Municipal de Rorainópolis,PM,11573,1.25550454418,5.00327930291,93.741216153,624,606,3.001967582,0
148,1400506,São João da Baliza,RR,Prefeitura Municipal de São João da Baliza,PM,5117,9.96845425868,15.3732912723,74.658254469,276,250,9.223974763,0
149,1400605,São Luiz,RR,Prefeitura Municipal de São Luiz,PM,4759,1.32435465769,37.2839506173,61.391694725,256,199,22.37037037,0
150,1400704,Uiramutã,RR,Prefeitura Municipal de Uiramutã,PM,1240,0.08787346221,1.14235500879,98.769771529,66,66,0.685413005,0
151,1600055,Serra do Navio,AP,Companhia de Água e Esgoto do Amapá,CAESA,2799,0,0.42718446602,39.650485437,151,100,33.213592233,59.9223300971
152,1600105,Amapá,AP,Companhia de Água e Esgoto do Amapá,CAESA,7316,6.6101451358,30.7802845236,62.609570341,395,322,18.468170714,0
153,1600154,Pedra Branca do Amapari,AP,Prefeitura Municipal de Pedra Branca do Amapari,PM,7101,6.20493040416,28.727150763,65.067918833,383,317,17.236290458,0
154,1600204,Calçoene,AP,Prefeitura Municipal de Calçoene,PM,7951,1.34117969071,5.32366224169,93.335158068,429,415,3.194197345,0
155,1600212,Cutias,AP,Prefeitura Municipal de Cutias,PM,2690,0.819000819,0.53235053235,98.648648649,145,144,0.319410319,0
156,1600238,Ferreira Gomes,AP,Prefeitura Municipal de Ferreira Gomes,PM,4695,1.9880239521,7.64071856287,90.371257485,253,241,4.584431138,0
157,1600253,Itaubal,AP,Prefeitura Municipal de Itaubal,PM,1942,4.73204104903,34.7776510832,60.490307868,104,82,20.86659065,0
158,1600279,Laranjal do Jari,AP,Prefeitura Municipal de Laranjal do Jari,PM,41596,1.63307302659,10.2047277332,88.16219924,2246,2108,6.12283664,0
159,1600303,Macapá,AP,Companhia de Água e Esgoto do Amapá,CAESA,418600,0,18.5053539482,72.329715068,22604,18437,18.435157156,9.16493098365
160,1600402,Mazagão,AP,Companhia de Água e Esgoto do Amapá,CAESA,9101,7.57978723404,3.61460348162,88.805609284,491,480,2.168762089,0
161,1600501,Oiapoque,AP,Companhia de Água e Esgoto do Amapá,CAESA,15525,7.06757146982,29.5625180479,63.369910482,838,689,17.737510829,0
162,1600535,Porto Grande,AP,Prefeitura Municipal de Porto Grande,PM,12030,0.35155888611,22.2129706726,77.435470441,649,563,13.327782404,0
163,1600550,Pracuúba,AP,Prefeitura Municipal de Pracuúba,PM,2121,0.58479532164,3.45560871877,95.95959596,114,112,2.073365231,0
164,1600600,Santana,AP,Companhia de Água e Esgoto do Amapá,CAESA,106584,0,12.6383549757,83.570945707,5755,5164,10.2744095,3.79069931693
165,1600709,Tartarugalzinho,AP,Prefeitura Municipal de Tartarugalzinho,PM,7413,0.85942295887,9.46899938613,89.671577655,400,377,5.681399632,0
166,1600808,Vitória do Jari,AP,Prefeitura Municipal de Vitória do Jari,PM,11376,1.89283634246,15.220345564,82.886818094,614,558,9.132207338,0
167,1700251,Abreulândia,TO,Prefeitura Municipal de Abreulândia,PM,1547,1.15176151762,16.1924119241,82.655826558,83,75,9.715447154,0
168,1700301,Aguiarnópolis,TO,Companhia de Saneamento do Tocantins,SANEATINS,4670,0,14.0028971511,45.997102849,252,166,34.001738291,40
169,1700350,Aliança do Tocantins,TO,Prefeitura Municipal de Aliança do Tocantins,PM,4769,0.92514718251,22.9814970563,76.093355761,257,222,13.788898234,0
170,1700400,Almas,TO,Prefeitura Municipal de Almas,PM,5983,2.39640539191,38.858379098,58.74521551,323,247,23.315027459,0
171,1700707,Alvorada,TO,Prefeitura Municipal de Alvorada,PM,7935,3.69607211848,4.32710882164,91.97681906,428,417,2.596265293,0
172,1701002,Ananás,TO,Serviço Autônomo de Água e Esgoto de Ananás,SAAE,8216,22.5786,7.30599214145,59.694007858,443,389,12.199645285,10.4214
173,1701051,Angico,TO,Prefeitura Municipal de Angico,PM,2034,0.87719298246,1.08359133127,98.039215686,109,109,0.650154799,0
174,1701101,Aparecida do Rio Negro,TO,Prefeitura Municipal de Aparecida do Rio Negro,PM,3542,0.69423483248,2.50528222155,96.800482946,191,188,1.503169333,0
175,1701309,Aragominas,TO,Prefeitura Municipal de Aragominas,PM,2259,0.9865470852,21.7488789238,77.264573991,121,106,13.049327354,0
176,1701903,Araguacema,TO,Prefeitura Municipal de Araguacema,PM,3110,2.05128205128,46.1538461538,51.794871795,167,121,27.692307692,0
177,1702000,Araguaçu,TO,Prefeitura Municipal de Araguaçu,PM,5937,1.12206732404,2.83917035022,96.038762326,320,315,1.70350221,0
178,1702109,Araguaína,TO,Companhia de Saneamento do Tocantins,SANEATINS,155850,0,6.76858492216,68.331415078,8415,6521,22.513581121,24.9
179,1702158,Araguanã,TO,Prefeitura Municipal de Araguanã,PM,3621,1.47666863556,39.4565859421,59.066745422,195,149,23.673951565,0
180,1702208,Araguatins,TO,Serviço Municipal de Saneamento,SEMUSA,21546,1.00322820959,1.91705984604,97.079711944,1163,1150,1.150235908,0
181,1702307,Arapoema,TO,Prefeitura Municipal de Arapoema,PM,5538,1.59486709441,14.3721356554,84.03299725,299,273,8.623281393,0
182,1702406,Arraias,TO,Prefeitura Municipal de Arraias,PM,7501,2.18423551757,31.1490978158,66.666666667,405,329,18.689458689,0
183,1702554,Augustinópolis,TO,Companhia de Saneamento do Tocantins,SANEATINS,14159,0,1.32058287796,71.679417122,764,574,24.822349727,27
184,1702703,Aurora do Tocantins,TO,Prefeitura Municipal de Aurora do Tocantins,PM,2611,1.28928283642,2.29653505238,96.414182111,140,139,1.377921031,0
